first_name,second_name,goals_scored,attempted_passes,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Jay,Rodriguez,0,,0,4,64,3,0.6,6.2,27.0,0,7,3.4,0,0,0,0.3,58,4
Bailey,Peacock-Farrell,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,1
Marcos,Alonso,0,,0,1,1,0,0.0,2.0,2.0,0,2,0.4,0,0,0,2.4,62,2
Antonio,Rüdiger,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,60,2
César,Azpilicueta,0,,1,7,360,9,100.9,100.0,31.0,0,67,23.2,0,0,0,6.6,60,2
Emerson,Palmieri dos Santos,0,,0,4,360,9,98.8,102.4,74.0,0,71,27.6,0,0,0,2.7,55,2
Andreas,Christensen,0,,0,3,270,7,2.6,61.0,19.0,0,44,8.3,0,0,0,1.3,50,2
Davide,Zappacosta,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,44,2
Olivier,Giroud,0,,0,4,100,2,46.8,12.4,21.0,0,13,7.9,1,0,0,1.6,68,4
Kepa,Arrizabalaga,0,,0,5,360,9,0.0,64.2,0.0,0,60,6.4,0,0,0,5.3,55,1
Willy,Caballero,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,49,1
Willian,Borges Da Silva,0,,0,3,55,1,4.1,4.4,10.0,0,11,1.8,0,0,0,0.7,70,3
Pedro,Rodríguez Ledesma,0,,0,4,180,5,82.1,32.4,29.0,0,26,14.3,0,0,0,2.0,70,3
Ruben,Loftus-Cheek,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,64,3
Callum,Hudson-Odoi,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,60,3
Ross,Barkley,0,,0,4,206,4,77.2,34.4,98.0,0,23,21.0,0,0,0,3.1,58,3
Jorge Luiz,Frello Filho,0,,1,10,322,8,45.3,54.0,23.0,2,57,12.3,0,0,3,3.3,50,3
N'Golo,Kanté,0,,0,2,107,2,19.3,23.0,18.0,0,7,6.0,0,0,1,5.3,50,3
Ethan,Ampadu,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,3
Christian,Pulisic,0,,2,13,275,8,55.8,45.0,91.0,0,44,19.2,0,0,0,7.3,75,3
Mateo,Kovacic,0,,1,10,281,7,60.7,62.6,28.0,0,72,15.1,0,0,0,1.3,55,3
Kurt,Zouma,0,,0,1,360,9,2.9,38.0,31.0,0,38,6.6,0,0,1,2.4,49,2
Tammy,Abraham,4,,0,28,251,6,71.7,144.6,138.0,6,112,35.2,0,0,1,13.4,72,4
Michy,Batshuayi,0,,0,1,7,1,0.3,0.0,0.0,0,3,0.0,0,0,0,0.4,67,4
Robert Kenedy,Nunes do Nascimento,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,54,3
Mason,Mount,2,,0,22,360,9,123.1,126.2,159.0,4,82,40.9,0,0,0,19.7,64,3
Reece,James,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,2
Fikayo,Tomori,0,,0,1,90,2,13.8,25.8,0.0,0,14,4.0,0,0,0,0.1,45,2
Billy,Gilmour,0,,0,1,6,1,0.8,0.4,0.0,0,1,0.1,0,0,0,0.0,45,3
Patrick,van Aanholt,1,,0,24,360,2,33.4,93.2,39.0,2,72,16.5,2,0,0,10.6,56,2
James,Tomkins,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,2
Mamadou,Sakho,0,,0,1,11,0,0.1,1.4,0.0,0,3,0.2,0,0,0,0.1,50,2
Joel,Ward,0,,0,18,360,2,22.5,91.8,2.0,2,72,11.7,2,0,0,1.4,45,2
Scott,Dann,0,,0,8,180,1,0.4,37.2,69.0,0,37,10.7,1,0,0,0.3,45,2
Martin,Kelly,0,,0,16,348,2,0.9,67.2,4.0,0,70,7.2,2,0,0,28.1,41,2
Christian,Benteke,0,,0,6,191,2,27.9,23.4,26.0,0,24,7.7,1,0,0,0.8,59,4
Connor,Wickham,0,,0,2,15,0,0.8,0.0,2.0,0,3,0.2,0,0,0,6.2,45,4
Vicente,Guaita,0,,0,15,360,2,0.0,70.0,0.0,0,76,7.0,2,0,1,0.6,50,1
Wayne,Hennessey,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.8,44,1
Wilfried,Zaha,0,,0,7,295,2,32.6,28.6,155.0,0,12,21.5,1,0,1,11.8,69,3
Luka,Milivojevic,0,,0,7,360,2,148.8,43.4,24.0,0,20,21.6,2,0,3,4.5,68,3
Andros,Townsend,0,,0,7,175,2,25.8,44.0,14.0,0,36,8.4,1,0,0,2.2,59,3
Max,Meyer,0,,0,4,154,1,3.6,17.4,57.0,0,13,7.8,1,0,1,0.1,54,3
Jeffrey,Schlupp,0,,1,11,187,0,28.6,42.8,52.0,1,30,12.4,2,0,0,0.1,55,3
James,McArthur,0,,0,10,351,2,37.6,53.8,26.0,0,42,11.8,2,0,0,1.2,54,3
Cheikhou,Kouyaté,0,,0,5,172,0,13.4,17.2,43.0,0,10,7.1,2,0,1,0.2,49,3
Luke,Dreher,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,3
James,McCarthy,0,,0,1,27,1,0.8,10.0,0.0,0,4,1.1,0,0,1,0.6,45,3
Jordan,Ayew,2,,0,20,223,0,29.8,80.8,74.0,6,71,18.5,3,0,0,6.5,51,4
Gary,Cahill,0,,0,8,180,1,1.3,42.0,42.0,1,32,8.6,1,0,1,1.8,45,2
Víctor,Camarasa,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,49,3
Alex,Iwobi,1,,0,10,104,3,22.5,54.0,42.0,2,36,11.8,0,0,0,1.7,59,3
Lucas,Digne,0,,2,23,342,4,136.1,97.0,74.0,3,89,30.7,2,0,0,28.3,61,2
Yerry,Mina,0,,0,18,360,4,3.0,81.0,68.0,4,86,15.2,2,0,0,5.2,56,2
Michael,Keane,0,,0,16,360,4,12.2,94.0,10.0,2,80,11.6,2,0,0,3.7,55,2
Seamus,Coleman,0,,0,12,360,4,43.1,48.6,48.0,0,67,14.0,2,0,2,3.4,55,2
Leighton,Baines,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49,2
Cenk,Tosun,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,58,4
Dominic,Calvert-Lewin,0,,0,6,243,2,15.0,6.0,34.0,0,11,5.5,2,0,1,1.2,59,4
Jordan,Pickford,0,,0,16,360,4,0.0,72.0,0.0,1,78,7.2,2,0,0,12.1,56,1
Maarten,Stekelenburg,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,9.2,40,1
Richarlison,de Andrade,2,,0,23,319,3,37.0,111.0,133.0,3,77,28.1,2,0,0,6.7,79,3
Gylfi,Sigurdsson,0,,1,13,319,3,133.5,47.0,85.0,0,37,26.6,2,0,0,6.5,78,3
Bernard,Anício Caldeira Duarte,1,,0,16,255,1,56.6,65.6,67.0,3,50,18.9,2,0,1,2.2,65,3
Theo,Walcott,0,,0,2,39,1,2.1,1.0,6.0,0,0,0.8,0,0,0,0.5,63,3
Tom,Davies,0,,0,1,11,0,0.1,3.4,0.0,0,2,0.4,0,0,0,0.1,54,3
Ademola,Lookman,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,3
Idrissa,Gueye,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,3
Morgan,Schneiderlin,0,,0,2,165,2,18.2,27.8,1.0,0,16,4.8,1,1,0,1.0,45,3
Fabian,Delph,0,,0,0,90,2,3.9,16.4,0.0,0,8,2.0,0,0,1,0.3,54,2
André Filipe,Tavares Gomes,0,,0,6,315,4,59.9,42.8,5.0,0,40,10.8,1,0,2,0.7,54,3
Lewis,Gibson,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,2
Mason,Holgate,0,,0,1,17,0,0.1,7.4,0.0,0,6,0.8,0,0,0,0.2,45,2
Jonas,Lössl,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,44,1
Moise,Kean,0,,1,8,142,3,25.0,20.2,33.0,0,26,7.7,0,0,0,2.9,68,4
Jean-Philippe,Gbamin,0,,0,4,135,0,6.3,20.0,0.0,0,14,2.6,1,0,0,0.1,49,3
Djibril,Sidibé,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,54,2
Ricardo Domingos,Barbosa Pereira,0,,0,15,360,3,50.4,107.6,14.0,3,72,17.2,1,0,0,5.4,60,2
Benjamin,Chilwell,0,,1,11,180,1,42.3,31.4,9.0,0,43,8.3,1,0,0,3.7,54,2
Jonny,Evans,0,,0,14,360,3,1.3,89.4,31.0,2,82,12.2,1,0,0,1.5,50,2
Christian,Fuchs,0,,0,5,184,2,28.6,33.4,2.0,0,21,6.4,0,0,0,0.5,45,2
Çaglar,Söyüncü,0,,1,15,360,3,11.9,106.8,9.0,0,88,12.8,1,0,0,3.6,45,2
Wes,Morgan,0,,0,1,12,0,0.0,9.0,0.0,0,5,0.9,0,0,0,0.9,44,2
Jamie,Vardy,3,,1,28,360,3,22.6,128.0,86.0,5,90,23.3,1,0,0,8.5,89,4
Kelechi,Iheanacho,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,58,4
Kasper,Schmeichel,0,,0,13,360,3,0.0,80.8,0.0,0,64,8.1,1,0,0,6.5,50,1
Eldin,Jakupovic,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,1
Danny,Ward,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,1
James,Maddison,0,,2,16,355,3,158.4,55.0,104.0,1,49,31.7,1,0,0,12.1,71,3
Harvey,Barnes,1,,0,9,125,1,22.9,44.8,57.0,0,34,12.6,0,0,0,0.3,59,3
Rachid,Ghezzal,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,54,3
Marc,Albrighton,0,,0,3,87,1,51.3,10.2,16.0,0,10,7.7,0,0,1,0.2,54,3
Demarai,Gray,0,,0,1,26,0,15.0,4.6,22.0,0,4,4.2,0,0,0,0.4,53,3
Wilfred,Ndidi,1,,0,15,270,2,37.8,103.6,22.0,3,64,16.4,1,0,0,3.1,50,3
Matty,James,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,3
Daniel,Amartey,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,45,3
Nampalys,Mendy,0,,0,1,1,0,0.0,1.2,0.0,0,2,0.1,0,0,0,0.8,45,3
Hamza,Choudhury,0,,0,8,241,2,27.5,40.4,22.0,0,42,8.9,1,0,0,1.1,45,3
Ayoze,Pérez,0,,0,7,231,2,38.4,24.6,47.0,0,25,11.1,1,0,0,6.7,63,3
James,Justin,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49,2
Youri,Tielemans,1,,1,19,358,3,102.6,88.0,105.0,2,82,29.5,1,0,0,4.3,64,3
Andy,King,0,,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,44,3
Dennis,Praet,0,,0,3,80,1,12.5,9.2,8.0,0,16,3.0,0,0,0,0.1,54,3
Andrew,Robertson,0,,0,12,360,3,97.8,70.2,67.0,0,76,23.5,1,0,0,21.8,69,2
Trent,Alexander-Arnold,0,,3,22,360,3,179.4,103.2,72.0,2,100,35.5,1,0,1,25.2,70,2
Virgil,van Dijk,1,,0,19,360,3,3.7,115.0,45.0,1,77,16.4,1,0,0,50.8,65,2
