assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,2,None,None,0,444145,0,0,0,0,0.5,0,4,0.0,1.0,0,Gabriel Teodoro,0.0,0,0,0.2,504,False,1.0,6,,None,45,0,0,0,444145.jpg,1.0,0,0,Martinelli Silva,1.4,False,None,a,1,3,0.0,1,100343,4380,93268,9072,0.0,0.2,Martinelli,0
0,0,0,100,25,0,192895,0,0,-1,1,0.0,0,2,0.0,0.2,0,Kieran,0.0,0,0,0.0,515,False,0.0,0,,2019-08-09T12:00:11.271398Z,54,0,0,0,192895.jpg,0.0,0,0,Tierney,0.4,False,None,a,1,3,0.0,0,11238,7128,37854,1071,0.0,0.0,Tierney,0
0,0,8,100,None,0,223340,0,0,0,0,15.3,0,3,0.5,1.5,1,Bukayo,0.5,1,0,2.9,541,False,8.4,45,,2019-09-24T21:30:13.707726Z,45,0,0,0,223340.jpg,1.0,0,0,Saka,0.1,False,None,a,1,3,5.0,1,8986,5579,1755,1398,0.1,0.2,Saka,0
0,3,53,None,None,0,37339,0,0,-1,1,88.2,0,2,0.0,-0.5,0,Ahmed,0.5,7,0,15.1,22,False,61.0,230,,None,44,0,0,0,37339.jpg,1.4,0,0,El Mohamady,1.3,False,None,a,2,7,2.0,7,32358,958,81883,9754,0.1,1.6,El Mohamady,0
0,0,0,0,0,0,43252,0,0,-1,1,0.0,0,2,0.0,0.0,0,James,0.0,0,0,0.0,23,False,0.0,0,Lack of match fitness - Expected back 19 Oct,2019-08-08T17:00:13.859858Z,44,0,0,0,43252.jpg,0.0,0,0,Chester,0.1,False,None,i,2,7,0.0,0,162,13,5214,285,0.0,0.0,Chester,0
0,0,92,None,None,2,47390,0,0,0,0,26.7,0,2,3.0,2.5,1,Neil,3.5,9,0,14.3,24,False,89.8,540,,None,45,0,0,0,47390.jpg,2.7,0,0,Taylor,0.4,False,None,a,2,7,26.0,16,14244,2258,10250,1494,0.8,3.6,Taylor,1
0,0,0,100,100,0,123354,0,0,0,0,0.0,0,2,-0.5,-1.0,0,Kortney,0.0,0,0,0.0,25,False,0.0,0,,2019-08-15T13:00:13.496241Z,45,0,0,0,123354.jpg,0.0,0,0,Hause,0.1,False,None,a,2,7,0.0,0,410,74,2715,191,0.0,0.0,Hause,0
0,0,4,25,0,0,54764,0,0,-1,1,0.0,0,4,0.0,0.0,0,Jonathan,0.0,2,0,0.2,26,False,0.0,16,Head injury - 25% chance of playing,2019-08-15T13:00:13.507539Z,54,0,0,0,54764.jpg,1.0,0,0,Kodjia,0.1,False,None,d,2,7,2.0,1,2039,22,23161,737,0.0,0.2,Kodjia,0
0,0,0,100,100,0,98770,0,0,-1,1,0.0,0,1,-0.5,-1.0,0,Ørjan,0.0,0,0,0.0,27,False,0.0,0,,2019-07-30T15:00:08.973693Z,44,0,0,0,98770.jpg,0.0,0,0,Nyland,0.2,False,None,a,2,7,0.0,0,1757,179,5668,446,0.0,0.0,Nyland,0
0,0,23,None,None,0,85242,0,0,-3,3,36.9,0,3,0.0,-0.5,1,Conor,0.5,2,0,8.0,28,False,25.2,105,,None,57,0,0,0,85242.jpg,1.3,0,0,Hourihane,0.1,False,None,a,2,7,18.0,4,1925,92,12829,575,0.1,0.7,Hourihane,0
